anchors,pos,neg
/home/ubuntu/lds/lds_image/churchrecognition/templeimages/AlbuquerqueNewMexicoTemple/AlbuquerqueNewMexicoTemple5.jpg,/home/ubuntu/lds/lds_image/churchrecognition/templeimages/AlbuquerqueNewMexicoTemple/AlbuquerqueNewMexicoTemple10.jpg,/home/ubuntu/lds/lds_image/churchrecognition/templeimages/Briminghamalabamtemple/Briminghamalabamtemple5.jpg
/home/ubuntu/lds/lds_image/churchrecognition/templeimages/AlbuquerqueNewMexicoTemple/AlbuquerqueNewMexicoTemple5.jpg,/home/ubuntu/lds/lds_image/churchrecognition/templeimages/AlbuquerqueNewMexicoTemple/AlbuquerqueNewMexicoTemple10.jpg,/home/ubuntu/lds/lds_image/churchrecognition/templeimages/Briminghamalabamtemple/Briminghamalabamtemple3.jpg
/home/ubuntu/lds/lds_image/churchrecognition/templeimages/AlbuquerqueNewMexicoTemple/AlbuquerqueNewMexicoTemple5.jpg,/home/ubuntu/lds/lds_image/churchrecognition/templeimages/AlbuquerqueNewMexicoTemple/AlbuquerqueNewMexicoTemple10.jpg,/home/ubuntu/lds/lds_image/churchrecognition/templeimages/Briminghamalabamtemple/Briminghamalabamtemple2.jpg
/home/ubuntu/lds/lds_image/churchrecognition/templeimages/AlbuquerqueNewMexicoTemple/AlbuquerqueNewMexicoTemple5.jpg,/home/ubuntu/lds/lds_image/churchrecognition/templeimages/AlbuquerqueNewMexicoTemple/AlbuquerqueNewMexicoTemple10.jpg,/home/ubuntu/lds/lds_image/churchrecognition/templeimages/Briminghamalabamtemple/Briminghamalabamtemple6.jpg
/home/ubuntu/lds/lds_image/churchrecognition/templeimages/AlbuquerqueNewMexicoTemple/AlbuquerqueNewMexicoTemple5.jpg,/home/ubuntu/lds/lds_image/churchrecognition/templeimages/AlbuquerqueNewMexicoTemple/AlbuquerqueNewMexicoTemple10.jpg,/home/ubuntu/lds/lds_image/churchrecognition/templeimages/Briminghamalabamtemple/frame1.jpg
/home/ubuntu/lds/lds_image/churchrecognition/templeimages/AlbuquerqueNewMexicoTemple/AlbuquerqueNewMexicoTemple5.jpg,/home/ubuntu/lds/lds_image/churchrecognition/templeimages/AlbuquerqueNewMexicoTemple/AlbuquerqueNewMexicoTemple10.jpg,/home/ubuntu/lds/lds_image/churchrecognition/templeimages/Briminghamalabamtemple/Briminghamalabamtemple7.jpg
/home/ubuntu/lds/lds_image/churchrecognition/templeimages/AlbuquerqueNewMexicoTemple/AlbuquerqueNewMexicoTemple5.jpg,/home/ubuntu/lds/lds_image/churchrecognition/templeimages/AlbuquerqueNewMexicoTemple/AlbuquerqueNewMexicoTemple10.jpg,/home/ubuntu/lds/lds_image/churchrecognition/templeimages/Briminghamalabamtemple/Briminghamalabamtemple8.jpg
/home/ubuntu/lds/lds_image/churchrecognition/templeimages/AlbuquerqueNewMexicoTemple/AlbuquerqueNewMexicoTemple5.jpg,/home/ubuntu/lds/lds_image/churchrecognition/templeimages/AlbuquerqueNewMexicoTemple/AlbuquerqueNewMexicoTemple10.jpg,/home/ubuntu/lds/lds_image/churchrecognition/templeimages/Briminghamalabamtemple/Briminghamalabamtemple9.jpg
/home/ubuntu/lds/lds_image/churchrecognition/templeimages/AlbuquerqueNewMexicoTemple/AlbuquerqueNewMexicoTemple5.jpg,/home/ubuntu/lds/lds_image/churchrecognition/templeimages/AlbuquerqueNewMexicoTemple/AlbuquerqueNewMexicoTemple10.jpg,/home/ubuntu/lds/lds_image/churchrecognition/templeimages/Briminghamalabamtemple/Briminghamalabamtemple4.jpg
/home/ubuntu/lds/lds_image/churchrecognition/templeimages/AlbuquerqueNewMexicoTemple/AlbuquerqueNewMexicoTemple5.jpg,/home/ubuntu/lds/lds_image/churchrecognition/templeimages/AlbuquerqueNewMexicoTemple/AlbuquerqueNewMexicoTemple10.jpg,/home/ubuntu/lds/lds_image/churchrecognition/templeimages/Briminghamalabamtemple/Briminghamalabamtemple1.jpg
/home/ubuntu/lds/lds_image/churchrecognition/templeimages/AlbuquerqueNewMexicoTemple/AlbuquerqueNewMexicoTemple5.jpg,/home/ubuntu/lds/lds_image/churchrecognition/templeimages/AlbuquerqueNewMexicoTemple/AlbuquerqueNewMexicoTemple10.jpg,/home/ubuntu/lds/lds_image/churchrecognition/templeimages/Briminghamalabamtemple/Briminghamalabamtemple10.jpg
/home/ubuntu/lds/lds_image/churchrecognition/templeimages/AlbuquerqueNewMexicoTemple/AlbuquerqueNewMexicoTemple5.jpg,/home/ubuntu/lds/lds_image/churchrecognition/templeimages/AlbuquerqueNewMexicoTemple/AlbuquerqueNewMexicoTemple10.jpg,/home/ubuntu/lds/lds_image/churchrecognition/templeimages/GilbertArizonaTemple/frame257.jpg
/home/ubuntu/lds/lds_image/churchrecognition/templeimages/AlbuquerqueNewMexicoTemple/AlbuquerqueNewMexicoTemple5.jpg,/home/ubuntu/lds/lds_image/churchrecognition/templeimages/AlbuquerqueNewMexicoTemple/AlbuquerqueNewMexicoTemple10.jpg,/home/ubuntu/lds/lds_image/churchrecognition/templeimages/GilbertArizonaTemple/GilbertArizonaTemple4.jpg
/home/ubuntu/lds/lds_image/churchrecognition/templeimages/AlbuquerqueNewMexicoTemple/AlbuquerqueNewMexicoTemple5.jpg,/home/ubuntu/lds/lds_image/churchrecognition/templeimages/AlbuquerqueNewMexicoTemple/AlbuquerqueNewMexicoTemple10.jpg,/home/ubuntu/lds/lds_image/churchrecognition/templeimages/GilbertArizonaTemple/frame575.jpg
